sample_ID	provider_ID	genus	species	clade	location	sublocation	sex	gsdf_copies	chr19_ins_GT	chr19_ins_AC	chr7_ins_GT	chr7_ins_AC	avg_seq_depth	cram
ILBCDS5879907	150A	Astatotilapia	calliptera	AstCal	Lake Chidya	NA	M	2	0/0	10,0	0/0	22,0	21	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879907/fAstCal1.2/ILBCDS5879907.mem.crumble.cram
ILBCDS5438970	ACCHIL	Astatotilapia	calliptera	AstCal	Lake Chilwa	NA	M	2	0/1	8,9	0/0	10,0	14.08	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5438970/fAstCal1.2/ILBCDS5438970.mem.crumble.cram
ILBCDS5879937	BB2	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	./.	0,0	0/1	3,9	6.53	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879937/fAstCal1.2/ILBCDS5879937.mem.crumble.cram
ILBCDS5879951	1I7A	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	./.	0,0	1/1	0,9	5.3	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879951/fAstCal1.2/ILBCDS5879951.mem.crumble.cram
ILBCDS5879936	BB1	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	3,0	0/1	2,7	8.73	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879936/fAstCal1.2/ILBCDS5879936.mem.crumble.cram
ILBCDS5879940	BB5	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	3,0	0/1	2,2	6.69	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879940/fAstCal1.2/ILBCDS5879940.mem.crumble.cram
ILBCDS5879942	BB7	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	1,0	0/1	4,5	7.14	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879942/fAstCal1.2/ILBCDS5879942.mem.crumble.cram
ILBCDS5879947	288A	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	1,0	0/1	1,8	7.08	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879947/fAstCal1.2/ILBCDS5879947.mem.crumble.cram
ILBCDS5879949	288C	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	3,0	0/1	4,9	6.86	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879949/fAstCal1.2/ILBCDS5879949.mem.crumble.cram
ILBCDS5879958	264B	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	1,0	0/1	1,7	6.74	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879958/fAstCal1.2/ILBCDS5879958.mem.crumble.cram
ILBCDS5879961	290F	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	5,0	0/1	1,8	7.42	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879961/fAstCal1.2/ILBCDS5879961.mem.crumble.cram
ILBCDS5879962	294	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	2,0	0/1	1,9	7.88	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879962/fAstCal1.2/ILBCDS5879962.mem.crumble.cram
ILBCDS5879967	1H4	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	4,0	0/1	2,3	6.55	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879967/fAstCal1.2/ILBCDS5879967.mem.crumble.cram
ILBCDS5879938	BB3	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	1,0	1/1	0,13	8.45	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879938/fAstCal1.2/ILBCDS5879938.mem.crumble.cram
ILBCDS5879939	BB4	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	2,0	1/1	0,16	6.91	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879939/fAstCal1.2/ILBCDS5879939.mem.crumble.cram
ILBCDS5879941	BB6	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	3,0	1/1	0,13	6.68	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879941/fAstCal1.2/ILBCDS5879941.mem.crumble.cram
ILBCDS5879943	BB8	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	2,0	1/1	0,9	7.89	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879943/fAstCal1.2/ILBCDS5879943.mem.crumble.cram
ILBCDS5879944	255	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	4,0	1/1	0,17	8.08	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879944/fAstCal1.2/ILBCDS5879944.mem.crumble.cram
ILBCDS5879945	256	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	1,0	1/1	0,16	8.41	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879945/fAstCal1.2/ILBCDS5879945.mem.crumble.cram
ILBCDS5879946	287	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	3,0	1/1	0,14	8.42	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879946/fAstCal1.2/ILBCDS5879946.mem.crumble.cram
ILBCDS5879948	288B	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	3,0	1/1	0,9	7.02	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879948/fAstCal1.2/ILBCDS5879948.mem.crumble.cram
ILBCDS5879950	288D	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	2,0	1/1	0,19	7	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879950/fAstCal1.2/ILBCDS5879950.mem.crumble.cram
ILBCDS5879952	1I7B	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	4,0	1/1	0,10	7.06	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879952/fAstCal1.2/ILBCDS5879952.mem.crumble.cram
ILBCDS5879953	258A	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	5,0	1/1	0,23	7.79	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879953/fAstCal1.2/ILBCDS5879953.mem.crumble.cram
ILBCDS5879954	258B	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	7,0	1/1	0,10	7.73	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879954/fAstCal1.2/ILBCDS5879954.mem.crumble.cram
ILBCDS5879955	258C	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	4,0	1/1	0,13	6.92	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879955/fAstCal1.2/ILBCDS5879955.mem.crumble.cram
ILBCDS5879956	263	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	2,0	1/1	0,13	6.74	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879956/fAstCal1.2/ILBCDS5879956.mem.crumble.cram
ILBCDS5879957	264A	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	3,0	1/1	0,16	6.53	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879957/fAstCal1.2/ILBCDS5879957.mem.crumble.cram
ILBCDS5879959	289	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	4,0	1/1	0,10	6.93	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879959/fAstCal1.2/ILBCDS5879959.mem.crumble.cram
ILBCDS5879960	290A	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	7,0	1/1	0,11	7.68	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879960/fAstCal1.2/ILBCDS5879960.mem.crumble.cram
ILBCDS5879963	302	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	3,0	1/1	0,13	6.77	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879963/fAstCal1.2/ILBCDS5879963.mem.crumble.cram
ILBCDS5879964	1H2	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	1,0	1/1	0,12	6.76	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879964/fAstCal1.2/ILBCDS5879964.mem.crumble.cram
ILBCDS5879965	1H3A	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	1,0	1/1	0,12	6.7	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879965/fAstCal1.2/ILBCDS5879965.mem.crumble.cram
ILBCDS5879966	1H3B	Astatotilapia	calliptera	AstCal	Lake Itamba	NA	M	2	0/0	5,0	1/1	0,5	6.91	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879966/fAstCal1.2/ILBCDS5879966.mem.crumble.cram
cichlid7050764	D16D07	Astatotilapia	calliptera	AstCal	Lake Kingiri	deep	M	2	0/0	18,0	0/1	6,35	14.14	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050764/fAstCal1.2/cichlid7050764.mem.crumble.cram
cichlid7050768	D16E02	Astatotilapia	calliptera	AstCal	Lake Kingiri	deep	M	2	0/0	26,0	0/1	12,25	16.25	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050768/fAstCal1.2/cichlid7050768.mem.crumble.cram
cichlid7050780	D16F05	Astatotilapia	calliptera	AstCal	Lake Kingiri	deep	M	2	0/0	27,1	0/1	15,30	18.19	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050780/fAstCal1.2/cichlid7050780.mem.crumble.cram
cichlid7050767	D16E01	Astatotilapia	calliptera	AstCal	Lake Kingiri	deep	M	2	0/0	20,0	1/1	0,50	16.8	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050767/fAstCal1.2/cichlid7050767.mem.crumble.cram
cichlid7050762	D16D05	Astatotilapia	calliptera	AstCal	Lake Kingiri	deep	M	2	0/1	23,32	0/0	9,0	17.54	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050762/fAstCal1.2/cichlid7050762.mem.crumble.cram
cichlid7050776	D16F01	Astatotilapia	calliptera	AstCal	Lake Kingiri	deep	M	2	0/1	13,16	0/0	21,0	15.75	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050776/fAstCal1.2/cichlid7050776.mem.crumble.cram
cichlid7050770	D16E04	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/0	19,1	0/1	6,23	16.55	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050770/fAstCal1.2/cichlid7050770.mem.crumble.cram
cichlid7050771	D16E05	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/0	23,0	0/1	10,23	18.45	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050771/fAstCal1.2/cichlid7050771.mem.crumble.cram
cichlid7050773	D16E07	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/0	25,0	0/1	10,31	16.42	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050773/fAstCal1.2/cichlid7050773.mem.crumble.cram
cichlid7050774	D16E08	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/0	27,0	0/1	6,14	15.51	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050774/fAstCal1.2/cichlid7050774.mem.crumble.cram
cichlid7050778	D16F03	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/0	18,0	0/1	11,31	18.23	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050778/fAstCal1.2/cichlid7050778.mem.crumble.cram
cichlid7050766	D16D09	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/0	22,1	1/1	0,40	16.2	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050766/fAstCal1.2/cichlid7050766.mem.crumble.cram
cichlid7050777	D16F02	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/0	26,1	1/1	0,41	17.01	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050777/fAstCal1.2/cichlid7050777.mem.crumble.cram
cichlid7050763	D16D06	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/1	9,27	0/0	15,0	14.08	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050763/fAstCal1.2/cichlid7050763.mem.crumble.cram
cichlid7050775	D16E09	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/1	7,24	0/0	17,0	15.24	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050775/fAstCal1.2/cichlid7050775.mem.crumble.cram
cichlid7050779	D16F04	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/1	14,29	0/0	18,0	18	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050779/fAstCal1.2/cichlid7050779.mem.crumble.cram
cichlid7050781	D16F06	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/1	14,23	0/0	26,0	17.68	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050781/fAstCal1.2/cichlid7050781.mem.crumble.cram
cichlid7050765	D16D08	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/1	7,39	0/1	7,26	11.87	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050765/fAstCal1.2/cichlid7050765.mem.crumble.cram
cichlid7050769	D16E03	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	2	0/1	16,27	0/1	10,25	16.44	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050769/fAstCal1.2/cichlid7050769.mem.crumble.cram
cichlid7050772	D16E06	Astatotilapia	calliptera	AstCal	Lake Kingiri	shallow	M	3	0/0	27,0	0/1	21,22	17.77	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7050772/fAstCal1.2/cichlid7050772.mem.crumble.cram
cichlid7020305	D19E05	Astatotilapia	calliptera	AstCal	Lake Malombe	Chimwala	M	2	0/1	6,21	0/0	12,0	15.8	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7020305/fAstCal1.2/cichlid7020305.mem.crumble.cram
cichlid7020306	D19E06	Astatotilapia	calliptera	AstCal	Lake Malombe	Chimwala	M	2	0/1	12,19	0/0	16,0	17.3	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7020306/fAstCal1.2/cichlid7020306.mem.crumble.cram
cichlid7020307	D19E07	Astatotilapia	calliptera	AstCal	Lake Malombe	Chimwala	M	2	0/1	10,25	0/0	10,0	18.11	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7020307/fAstCal1.2/cichlid7020307.mem.crumble.cram
cichlid7020308	D19E08	Astatotilapia	calliptera	AstCal	Lake Malombe	Chimwala	M	2	0/1	12,21	0/0	10,0	17.48	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7020308/fAstCal1.2/cichlid7020308.mem.crumble.cram
cichlid7020309	D19E09	Astatotilapia	calliptera	AstCal	Lake Malombe	Chimwala	M	2	0/1	9,24	0/0	14,0	16.11	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/Malawi_cichlids_2017/cichlid7020309/fAstCal1.2/cichlid7020309.mem.crumble.cram
cichl187580001	D29A10	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/0	14,0	0/1	3,23	13.76	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/HG_2018_cichlid_Massoko_DNA/cichl187580001/fAstCal1.2/cichl187580001.mem.crumble.cram
cichl187580010	D29B09	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/0	22,0	0/1	11,24	15.09	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/HG_2018_cichlid_Massoko_DNA/cichl187580010/fAstCal1.2/cichl187580010.mem.crumble.cram
CMASS6169485	G07B06	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/0	8,0	0/1	3,9	5.91	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/IHTP_WGS_Cichlid_Massako_diversity/CMASS6169485/fAstCal1.2/CMASS6169485.mem.crumble.cram
cichl187580489	G03F05	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	8,19	0/0	12,0	14.38	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/HG_2018_cichlid_Massoko_DNA/cichl187580489/fAstCal1.2/cichl187580489.mem.crumble.cram
cichl187580493	G03H01	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	9,26	0/0	20,0	17.47	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/HG_2018_cichlid_Massoko_DNA/cichl187580493/fAstCal1.2/cichl187580493.mem.crumble.cram
cichl187580495	G03I03	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	8,13	0/0	16,0	16.18	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/HG_2018_cichlid_Massoko_DNA/cichl187580495/fAstCal1.2/cichl187580495.mem.crumble.cram
cichl187580516	G05H07	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	7,27	0/0	9,0	16.5	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/HG_2018_cichlid_Massoko_DNA/cichl187580516/fAstCal1.2/cichl187580516.mem.crumble.cram
CMASS6169474	G05H08	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	1,7	0/0	5,0	5.37	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/IHTP_WGS_Cichlid_Massako_diversity/CMASS6169474/fAstCal1.2/CMASS6169474.mem.crumble.cram
CMASS6169489	G03G10	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	1,11	0/0	5,0	5.52	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/IHTP_WGS_Cichlid_Massako_diversity/CMASS6169489/fAstCal1.2/CMASS6169489.mem.crumble.cram
CMASS6608025	G04G06	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	4,9	0/0	19,0	6.62	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/IHTP_WGS_Cichlid_Massako_diversity/CMASS6608025/fAstCal1.2/CMASS6608025.mem.crumble.cram
CMASS6608063	G04B04	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	2,9	0/0	5,0	6.52	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/IHTP_WGS_Cichlid_Massako_diversity/CMASS6608063/fAstCal1.2/CMASS6608063.mem.crumble.cram
CMASS6608064	G05A08	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	6,7	0/0	13,0	6.53	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/IHTP_WGS_Cichlid_Massako_diversity/CMASS6608064/fAstCal1.2/CMASS6608064.mem.crumble.cram
CMASS6608065	G03J09	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	2,17	0/0	9,0	8.58	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/IHTP_WGS_Cichlid_Massako_diversity/CMASS6608065/fAstCal1.2/CMASS6608065.mem.crumble.cram
CMASS6608071	G05B02	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	0/1	3,18	0/0	13,0	9.53	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/IHTP_WGS_Cichlid_Massako_diversity/CMASS6608071/fAstCal1.2/CMASS6608071.mem.crumble.cram
CMASS6608068	G05H06	Astatotilapia	calliptera	AstCal	Lake Masoko	Deep	M	2	1/1	0,11	0/0	7,0	8.87	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/IHTP_WGS_Cichlid_Massako_diversity/CMASS6608068/fAstCal1.2/CMASS6608068.mem.crumble.cram
